         41662604 function calls (40090220 primitive calls) in 230.319 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18419    0.035    0.000    0.036    0.000 {method 'dump' of '_pickle.Pickler' objects}
   145211    0.034    0.000    0.034    0.000 threading.py:513(is_set)
     6073    0.034    0.000    0.143    0.000 pool.py:940(_help_stuff_finish)
    62919    0.034    0.000    0.483    0.000 base.py:1224(exit_fn)
    71821    0.033    0.000    0.033    0.000 typeof.py:144(_typeof_str)
     6088    0.033    0.000    0.040    0.000 util.py:186(__init__)
  723/305    0.033    0.000   10.489    0.034 lowering.py:220(lower_block)
   134296    0.033    0.000    0.033    0.000 {built-in method _thread.get_ident}
    62919    0.032    0.000    0.380    0.000 base.py:1221(enter_fn)
     1375    0.032    0.000    0.045    0.000 analysis.py:190(compute_live_variables)
     2065    0.032    0.000    0.190    0.000 context.py:582(resolve_overload)
        6    0.032    0.005    0.176    0.029 shape_base.py:739(array_split)
    34724    0.032    0.000    0.041    0.000 _weakrefset.py:38(_remove)
    66523    0.032    0.000    0.032    0.000 {method 'rpartition' of 'str' objects}
   141732    0.032    0.000    0.032    0.000 event.py:132(is_end)
    35870    0.031    0.000   34.253    0.001 pool.py:761(wait)
     4146    0.031    0.000    0.085    0.000 instructions.py:65(__init__)
     6074    0.031    0.000    4.202    0.001 queues.py:334(__init__)
   253631    0.030    0.000    0.030    0.000 abstract.py:95(key)
16784/5535    0.030    0.000    9.069    0.002 templates.py:592(generic)
    50721    0.030    0.000    0.041    0.000 threading.py:255(_release_save)
   132213    0.030    0.000    0.030    0.000 {method 'insert' of 'list' objects}
   284076    0.029    0.000    0.029    0.000 {built-in method time.perf_counter}
     6085    0.029    0.000    0.043    0.000 logger.py:39(short_format_time)
     2910    0.029    0.000    0.080    0.000 inspect.py:2124(_signature_from_function)
     8604    0.029    0.000    0.033    0.000 {method 'sub' of 're.Pattern' objects}
